Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Georgia,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,49.8,49.7,D+ 0.1@@-.1,1.279258,D
Georgia,10/7 - 10/8@@23656,"1,089 LV@@1089",Trafalgar Group,44.9,46.2,R+ 1.3@@1.3,0.9043717,R
Georgia,10/8 - 10/9@@23657,608 LV@@608,Redfield & Wilton,47,48,R+ 1@@1,0.8002354,R
Georgia,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",45,50,R+ 5@@5,0.6648383,R
Georgia,9/27 - 10/2@@23646,"3,783 LV@@3783",Redfield & Wilton,47,47,Even@@0,0.579278,E
Georgia,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,47,45.5,D+ 1.5@@-1.5,0.5762121,D
Georgia,9/29 - 9/30@@23648,800 LV@@800,InsiderAdvantage,48.3,48.1,D+ 0.2@@-.2,0.5282773,D
Georgia,9/25 - 9/29@@23644,942 LV@@942,Quinnipiac,44.5,50,R+ 5.5@@5.5,0.5192491,R
Georgia,9/20 - 9/25@@23639,"1,200 LV@@1200",AtlasIntel,49,49.45,R+ 0.5@@.5,0.3746034,R
Georgia,9/24 - 10/2@@23643,500 LV@@500,OnMessage,44,47,R+ 3@@3,0.3465747,R
Georgia,9/19 - 9/24@@23638,"1,220 LV@@1220",Marist College,49,50,R+ 1@@1,0.3102839,R
Georgia,9/20 - 9/24@@23639,"1,441 LV@@1441",YouGov,49,51,R+ 2@@2,0.281265,R
Georgia,9/23 - 9/29@@23642,400 LV@@400,Global Strategy Group/North Star Opinion Research,46.5,47,R+ 0.5@@.5,0.2669739,R
Georgia,9/20 - 9/24@@23639,707 LV@@707,Beacon Research/Shaw & Co.,50.5,48,D+ 2.5@@-2.5,0.259349,D
Georgia,9/19 - 9/25@@23638,913 LV@@913,Morning Consult,48.5,48.5,Even@@0,0.1902409,E
Georgia,9/20 - 9/23@@23639,600 RV@@600,Bullfinch,49,47,D+ 2@@-2,0.1609891,D
Georgia,9/19 - 9/25@@23638,411 LV@@411,Benenson Strategy/GS Strategy,47,48.5,R+ 1.5@@1.5,0.1501447,R
Georgia,9/19 - 9/22@@23638,"1,152 LV@@1152",Rasmussen Reports,47,50.5,R+ 3.5@@3.5,0.1490581,R
Georgia,9/17 - 9/21@@23636,682 LV@@682,NYT/Siena,44.5,48,R+ 3.5@@3.5,0.1131317,R
