Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Minnesota,9/23 - 9/26@@23642,646 LV@@646,SurveyUSA,50,44,D+ 6@@-6,0.8795541,D
Minnesota,9/27 - 10/2@@23646,551 LV@@551,Redfield & Wilton,51,43,D+ 8@@-8,0.8004099,D
Minnesota,9/19 - 9/22@@23638,993 LV@@993,Rasmussen Reports,49,46,D+ 3@@-3,0.4233318,D
Minnesota,9/16 - 9/18@@23635,800 LV@@800,Mason-Dixon Polling,48,43,D+ 5@@-5,0.3219549,D
Minnesota,9/16 - 9/19@@23635,703 LV@@703,Redfield & Wilton,50,44,D+ 6@@-6,0.2402694,D
Minnesota,9/9 - 9/18@@23628,517 LV@@517,Morning Consult,49.56,43,D+ 6.6@@-6.6,0.0503342,D
Minnesota,9/6 - 9/9@@23625,617 LV@@617,Redfield & Wilton,51,44,D+ 7@@-7,0.0118133,D
Minnesota,9/4 - 9/8@@23623,"1,616 LV@@1616",Change Research,48.8,44.6,D+ 4.2@@-4.2,0.0081263,D
Minnesota,8/12 - 8/15@@23600,475 LV@@475,Redfield & Wilton,47,40,D+ 7@@-7,0,D
Minnesota,8/30 - 9/8@@23618,501 LV@@501,Morning Consult,50.92,44.28,D+ 6.6@@-6.6,0,D
Minnesota,8/27 - 8/29@@23615,635 LV@@635,SurveyUSA,48,43,D+ 5@@-5,0,D
Minnesota,8/25 - 8/28@@23613,426 LV@@426,Redfield & Wilton,51,42,D+ 9@@-9,0,D
Minnesota,7/22 - 7/24@@23579,475 LV@@475,Redfield & Wilton,44,41,D+ 3@@-3,0,D
Minnesota,7/31 - 8/3@@23588,538 LV@@538,Redfield & Wilton,46,41,D+ 5@@-5,0,D
Minnesota,7/22 - 7/24@@23579,"1,071 RV@@1071",Beacon Research/Shaw & Co.,49.5,43.5,D+ 6@@-6,0,D
Minnesota,7/23 - 7/25@@23580,656 LV@@656,SurveyUSA,50,40,D+ 10@@-10,0,D
