Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
National,9/29 - 10/6@@23648,"3,385 LV@@3385",NYT/Siena,48,45,D+ 3@@-3,1.789181,D
National,10/6 - 10/8@@23655,"2,180 LV@@2180",co/efficient,49,47,D+ 2@@-2,1.381898,D
National,10/2 - 10/3@@23651,"1,500 LV@@1500",Cygnal,48.75,45.75,D+ 3@@-3,1.298522,D
National,9/30 - 10/6@@23649,"4,025 RV@@4025",Pew Research Center,49,48,D+ 1@@-1,1.172541,D
National,10/7 - 10/10@@23656,"2,945 LV@@2945",RMG Research,50,47,D+ 3@@-3,1.11388,D
National,10/2 - 10/4@@23651,997 LV@@997,TIPP Insights,48.5,45.5,D+ 3@@-3,1.079067,D
National,10/2 - 10/4@@23651,"2,290 LV@@2290",OH Predictive Insights,49,46.5,D+ 2.5@@-2.5,1.024919,D
National,10/2 - 10/3@@23651,"1,211 LV@@1211",Data for Progress,49,46,D+ 3@@-3,0.949986,D
National,10/4 - 10/7@@23653,"1,076 LV@@1076",Ipsos,49,47,D+ 2@@-2,0.9344556,D
National,10/6 - 10/7@@23655,"1,230 LV@@1230",YouGov,49,45,D+ 4@@-4,0.9234506,D
National,10/4 - 10/6@@23653,"1,001 LV@@1001",Research Co.,49,45,D+ 4@@-4,0.9092816,D
National,9/27 - 10/1@@23646,"1,294 LV@@1294",Marist College,50,48,D+ 2@@-2,0.8559999,D
National,9/29 - 10/1@@23648,"1,000 LV@@1000",Emerson College,50.2,48.6,D+ 1.6@@-1.6,0.8059394,D
National,10/6 - 10/6@@23655,"1,918 LV@@1918",Redfield & Wilton,47.72,45.99,D+ 1.7@@-1.7,0.7865785,D
National,10/3 - 10/9@@23652,"2,244 LV@@2244",Rasmussen Reports,46,48,R+ 2@@2,0.7403195,R
National,10/2 - 10/4@@23651,755 LV@@755,Big Village,49.9,46.4,D+ 3.5@@-3.5,0.7133445,D
National,10/4 - 10/6@@23653,"11,353 LV@@11353",Morning Consult,51,46,D+ 5@@-5,0.6912434,D
National,10/2 - 10/4@@23651,"1,032 LV@@1032.5",YouGov,47.5,47,D+ 0.5@@-.5,0.6410134,D
National,9/23 - 10/1@@23642,"1,001 LV@@1001",Susquehanna Polling,49,44,D+ 5@@-5,0.5965405,D
National,9/30 - 10/3@@23649,"2,965 LV@@2965",RMG Research,49,49,Even@@0,0.5836626,E
National,9/27 - 9/29@@23646,837 LV@@837,Leger,51,47,D+ 4@@-4,0.5121207,D
