Pollster,Grade,Predictive +/-,Mean-reverted bias,# of polls,cat
Selzer,A+@@1,-1.27,D +0.1@@-.1,54,D
The New York Times/Siena College,A+@@1,-1.18,D +1.0@@-1,95,D
ABC News/The Washington Post,A+@@1,-.94,D +0.8@@-.8,90,D
Research & Polling Inc.,A+@@1,-.92,R +0.5@@.5,44,R
SurveyUSA,A@@2,-.86,+0.0@@0,857,E
Siena College,A@@2,-.84,R +0.2@@.2,63,R
Marquette University Law School,A/B@@4,-.81,D +0.2@@-.2,15,D
AtlasIntel,A@@2,-.75,D +0.2@@-.2,24,D
Beacon Research/Shaw & Co. Research,A@@2,-.72,D +1.4@@-1.4,56,D
Marist College,A@@2,-.7,D +0.3@@-.3,200,D
Cygnal,A@@2,-.69,D +1.5@@-1.5,39,D
Monmouth University,A@@2,-.62,D +2.0@@-2,123,D
Landmark Communications,A-@@3,-.58,D +0.8@@-.8,41,D
Emerson College,A-@@3,-.56,D +0.3@@-.3,264,D
MassINC Polling Group,A/B@@4,-.53,R +0.7@@.7,20,R
University of Massachusetts Lowell,A-@@3,-.53,D +0.7@@-.7,30,D
University of North Florida,A/B@@4,-.52,D +1.3@@-1.3,13,D
TIPP Insights,A/B@@4,-.5,R +0.7@@.7,29,R
Public Policy Institute of California,A/B@@4,-.47,R +1.0@@1,18,R
CBS News/The New York Times,A-@@3,-.44,D +0.3@@-.3,66,D
Alaska Survey Research,A/B@@4,-.44,D +1.4@@-1.4,14,D
Public Policy Polling,A-@@3,-.39,D +0.9@@-.9,463,D
Strategic Vision LLC,F@@13,-.38,R +1.4@@1.4,133,R
Mason-Dixon Polling & Strategy,A-@@3,-.38,R +0.5@@.5,446,R
Quinnipiac University,A-@@3,-.38,D +0.5@@-.5,222,D
Data Orbital,A/B@@4,-.37,D +0.2@@-.2,16,D
Stockton University,A/B@@4,-.36,D +0.8@@-.8,12,D
Suffolk University,A-@@3,-.34,D +0.8@@-.8,102,D
Los Angeles Times,A/B@@4,-.33,R +0.1@@.1,37,R
Muhlenberg College,A-@@3,-.33,R +0.2@@.2,34,R
Field Research Corp. (Field Poll),A/B@@4,-.32,R +0.5@@.5,25,R
Public Opinion Strategies,A-@@3,-.3,R +1.3@@1.3,80,R
Christopher Newport University,A/B@@4,-.29,D +0.9@@-.9,14,D
Grove Insight,A/B@@4,-.28,D +0.5@@-.5,29,D
Greenberg Quinlan Rosner/American Viewpoint,A/B@@4,-.27,R +0.5@@.5,8,R
RKM Research and Communications Inc.,A/B@@4,-.25,R +0.1@@.1,35,R
National Research,A/B@@4,-.23,R +0.3@@.3,15,R
YouGov,B+@@5,-.22,D +0.8@@-.8,483,D
Susquehanna Polling & Research Inc.,B+@@5,-.21,D +0.4@@-.4,50,D
Dittman Research,A/B@@4,-.2,D +0.8@@-.8,10,D
The Winston Group,A/B@@4,-.19,D +1.0@@-1,11,D
Opinion Dynamics,A/B@@4,-.18,R +0.2@@.2,34,R
RRH Elections,A/B@@4,-.18,R +0.3@@.3,15,R
University of Connecticut,A/B@@4,-.18,R +0.1@@.1,11,R
Elway Research,A/B@@4,-.17,D +0.6@@-.6,21,D
Gallup,B+@@5,-.16,R +0.6@@.6,84,R
Hart Research Associates/Public Opinion Strategies,B+@@5,-.14,D +0.8@@-.8,33,D
Fairleigh Dickinson University,A/B@@4,-.14,R +0.1@@.1,21,R
Greenberg Quinlan Rosner,B+@@5,-.13,D +2.0@@-2,60,D
Elon University,A/B@@4,-.13,D +0.4@@-.4,8,D
Angus Reid Global,A/B@@4,-.13,R +1.0@@1,31,R
Tarrance Group,A/B@@4,-.13,R +0.8@@.8,31,R
Pharos Research Group,F@@13,-.12,D +0.7@@-.7,33,D
"Fabrizio, Lee & Associates",A/B@@4,-.11,R +0.3@@.3,11,R
Florida Atlantic University,A/B@@4,-.09,D +0.5@@-.5,9,D
co/efficient,B+@@5,-.09,R +2.2@@2.2,21,R
Garin-Hart-Yang Research Group,B+@@5,-.09,D +1.7@@-1.7,33,D
Abt Associates,A/B@@4,-.08,D +0.7@@-.7,13,D
National Journal,A/B@@4,-.08,R +0.1@@.1,12,R
Echelon Insights,A/B@@4,-.08,R +0.2@@.2,10,R
St. Pete Polls,B+@@5,-.07,+0.0@@0,27,E
University of California Berkeley,A/B@@4,-.06,D +0.1@@-.1,6,D
Temple University,A/B@@4,-.06,R +0.2@@.2,6,R
Princeton Survey Research Associates International,A/B@@4,-.06,D +0.4@@-.4,35,D
EPIC-MRA,B+@@5,-.06,D +0.1@@-.1,56,D
Michigan State University,A/B@@4,-.04,+0.0@@0,2,E
Trafalgar Group,B+@@5,-.04,R +2.4@@2.4,118,R
Landmark Communications/Rosetta Stone Communications,A/B@@4,-.03,D +1.0@@-1,11,D
Vox Populi Polling,A/B@@4,-.03,D +0.3@@-.3,19,D
KRC Research,A/B@@4,-.02,D +0.1@@-.1,22,D
Western New England University,A/B@@4,-.02,R +0.3@@.3,11,R
Lake Research Partners/The Tarrance Group,A/B@@4,-.02,R +0.6@@.6,33,R
Lake Research Partners,A/B@@4,0,D +0.7@@-.7,12,D
Harris Insights & Analytics,B+@@5,0,R +1.0@@1,182,R
KAConsulting,B/C@@8,0,R +1.3@@1.3,11,R
University of Arkansas,B/C@@8,.01,D +0.9@@-.9,10,D
University of Cincinnati (Ohio Poll),B/C@@8,.01,R +1.1@@1.1,39,R
GfK Group,B/C@@8,.01,D +0.2@@-.2,21,D
Saint Anselm College,B/C@@8,.02,R +0.6@@.6,10,R
Fleming & Associates,B/C@@8,.03,R +0.5@@.5,18,R
Optimus Analytics,B/C@@8,.05,R +0.5@@.5,17,R
New England College Polling Center,B/C@@8,.05,R +1.0@@1,19,R
Public Religion Research Institute,B/C@@8,.05,+0.0@@0,1,E
Rasmussen Reports,B@@6,.05,R +1.4@@1.4,772,R
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),B/C@@8,.06,+0.0@@0,2,E
RAND (American Life Panel),B/C@@8,.06,D +0.1@@-.1,4,D
SEA Polling & Strategic Design,B/C@@8,.06,D +0.5@@-.5,14,D
Pew Research Center,B/C@@8,.07,D +0.6@@-.6,25,D
Magellan Strategies,B/C@@8,.07,R +0.4@@.4,18,R
Data for Progress,B@@6,.08,D +1.4@@-1.4,107,D
Clarity Campaign Labs,B/C@@8,.08,D +1.0@@-1,13,D
Indiana University,B/C@@8,.08,+0.0@@0,2,E
Wirthlin Worldwide,B/C@@8,.08,R +0.1@@.1,4,R
Knowledge Networks,B/C@@8,.09,D +0.2@@-.2,4,D
North Star Opinion Research,B/C@@8,.1,R +0.6@@.6,11,R
Belden Russonello,B/C@@8,.1,+0.0@@0,3,E
East Carolina University,B/C@@8,.1,D +1.1@@-1.1,14,D
Louis Harris & Associates,B/C@@8,.1,+0.0@@0,2,E
Clemson University,B/C@@8,.1,+0.0@@0,8,E
Gravis Marketing/Kaplan Strategies,B@@6,.1,D +1.3@@-1.3,155,D
Harper Polling,B/C@@8,.11,D +0.4@@-.4,14,D
Civiqs,B@@6,.12,D +2.8@@-2.8,43,D
University of Florida,B/C@@8,.12,+0.0@@0,1,E
Gordon S. Black Corp.,B/C@@8,.13,R +0.1@@.1,2,R
Wick,B/C@@8,.13,R +1.2@@1.2,16,R
Blum & Weprin Associates,B/C@@8,.13,R +0.5@@.5,19,R
Ohio State University,B/C@@8,.14,+0.0@@0,1,E
University of Georgia,B/C@@8,.15,D +0.1@@-.1,7,D
Harstad Strategic Research,B/C@@8,.16,D +0.5@@-.5,11,D
Polling Company/Global Strategy Group,B/C@@8,.16,R +0.2@@.2,4,R
RT Strategies,B/C@@8,.16,D +0.8@@-.8,45,D
