Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Texas,10/3 - 10/7@@23652,"1,186 LV@@1186",Marist College,46,53,R+ 7@@7,1.527189,R
Texas,9/29 - 10/4@@23648,617 LV@@617,NYT/Siena,43,49.5,R+ 6.5@@6.5,1.024819,R
Texas,10/2 - 10/6@@23651,775 LV@@775,Florida Atlantic/Mainstreet,45,50,R+ 5@@5,0.8877308,R
Texas,9/25 - 9/27@@23644,779 LV@@779,RMG Research,46,53,R+ 7@@7,0.4362529,R
Texas,9/25 - 9/26@@23644,759 RV@@759,Public Policy Polling,45,50,R+ 5@@5,0.4136363,R
Texas,9/22 - 9/24@@23641,950 LV@@950,Emerson College,46.7,52.3,R+ 5.6@@5.6,0.4090347,R
Texas,9/13 - 9/18@@23632,"1,200 LV@@1200",Texas Hispanic Policy Foundation,44,50,R+ 6@@6,0.0669857,R
Texas,9/9 - 9/18@@23628,"2,716 LV@@2716",Morning Consult,45.77,49.58,R+ 3.8@@3.8,0.0520357,R
Texas,9/4 - 9/9@@23623,504 LV@@504,CWS Research,41,51,R+ 10@@10,0.0019572,R
Texas,8/30 - 9/8@@23618,"2,940 LV@@2940",Morning Consult,43.43,51.75,R+ 8.3@@8.3,0,R
Texas,8/24 - 8/29@@23612,800 RV@@800,Lake Research Partners,43,51,R+ 8@@8,0,R
Texas,8/5 - 8/16@@23593,"1,365 LV@@1365",University of Houston,44.6,49.5,R+ 4.9@@4.9,0,R
Texas,8/23 - 8/31@@23611,"1,200 RV@@1200",YouGov,44,49,R+ 5@@5,0,R
Texas,9/3 - 9/5@@23622,845 LV@@845,Emerson College,48,50.9,R+ 2.9@@2.9,0,R
Texas,8/21 - 8/22@@23609,725 RV@@725,Public Policy Polling,43,47,R+ 4@@4,0,R
