Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Wisconsin,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,49.2,49.9,R+ 0.7@@.7,1.279258,R
Wisconsin,10/3 - 10/7@@23652,"1,073 LV@@1073",Quinnipiac,46.5,48.5,R+ 2@@2,1.132218,R
Wisconsin,10/8 - 10/9@@23657,800 LV@@800,InsiderAdvantage,48,48,Even@@0,1.01441,E
Wisconsin,10/5 - 10/7@@23654,450 LV@@450,Research Co.,50,48,D+ 2@@-2,0.7496232,D
Wisconsin,10/2 - 10/6@@23651,700 LV@@700,Arc Insights,47,48,R+ 1@@1,0.6873997,R
Wisconsin,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",48,49,R+ 1@@1,0.6648383,R
Wisconsin,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,47,46.5,D+ 0.5@@-.5,0.5762121,D
Wisconsin,9/28 - 9/30@@23647,"1,079 LV@@1079",Trafalgar Group,46,47.1,R+ 1.1@@1.1,0.4520641,R
Wisconsin,9/27 - 10/2@@23646,533 LV@@533,Redfield & Wilton,47,46,D+ 1@@-1,0.4418291,D
Wisconsin,9/21 - 9/26@@23640,680 LV@@680,NYT/Siena,48.5,46.5,D+ 2@@-2,0.3899425,D
Wisconsin,9/20 - 9/25@@23639,"1,077 LV@@1077",AtlasIntel,48.2,49.65,R+ 1.5@@1.5,0.3612649,R
Wisconsin,9/24 - 10/2@@23643,500 LV@@500,OnMessage,46,47,R+ 1@@1,0.3465747,R
Wisconsin,9/18 - 9/26@@23637,798 LV@@798,Marquette University Law School,50.5,46,D+ 4.5@@-4.5,0.2755848,D
Wisconsin,9/23 - 9/29@@23642,408 LV@@408,Global Strategy Group/North Star Opinion Research,47,45.5,D+ 1.5@@-1.5,0.2686737,D
Wisconsin,9/19 - 9/25@@23638,785 LV@@785,Morning Consult,50.5,47.5,D+ 3@@-3,0.1868178,D
Wisconsin,9/19 - 9/25@@23638,411 LV@@411,Benenson Strategy/GS Strategy,48.5,46.5,D+ 2@@-2,0.1501447,D
Wisconsin,9/19 - 9/22@@23638,"1,071 LV@@1071",Rasmussen Reports,49,49,Even@@0,0.1468633,E
Wisconsin,9/17 - 9/23@@23636,788 LV@@788,RMG Research,50,49,D+ 1@@-1,0.12093,D
