Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Arizona,10/7 - 10/10@@23656,808 LV@@808,NYT/Siena,45.5,50.5,R+ 5@@5,1.479224,R
Arizona,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,48.2,50.5,R+ 2.3@@2.3,1.256392,R
Arizona,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",46,49,R+ 3@@3,0.6634247,R
Arizona,9/30 - 10/2@@23649,783 LV@@783,RMG Research,46,50,R+ 4@@4,0.6187132,R
Arizona,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,47.5,45.5,D+ 2@@-2,0.5647843,D
Arizona,9/27 - 9/28@@23646,920 LV@@920,Emerson College,47.6,51.7,R+ 4.1@@4.1,0.509012,R
Arizona,9/29 - 9/30@@23648,800 LV@@800,InsiderAdvantage,47.7,49.1,R+ 1.4@@1.4,0.5034299,R
Arizona,9/27 - 10/2@@23646,555 LV@@555,Redfield & Wilton,47,48,R+ 1@@1,0.4266949,R
Arizona,9/24 - 10/1@@23643,600 LV@@600,"Fabrizio, Lee/Impact Research",47.5,49.5,R+ 2@@2,0.3576927,R
Arizona,9/24 - 10/2@@23643,500 LV@@500,OnMessage,45,47,R+ 2@@2,0.3302737,R
Arizona,9/26 - 9/29@@23645,500 LV@@500,HighGround,47.6,45.4,D+ 2.2@@-2.2,0.3296278,D
Arizona,9/25 - 9/29@@23644,600 LV@@600,National Research,47,46,D+ 1@@-1,0.3237368,D
Arizona,9/20 - 9/25@@23639,946 LV@@946,AtlasIntel,48.6,49.75,R+ 1.2@@1.2,0.2901868,R
Arizona,9/19 - 9/24@@23638,"1,264 LV@@1264",Marist College,49,50,R+ 1@@1,0.2502545,R
Arizona,9/23 - 9/29@@23642,400 LV@@400,Global Strategy Group/North Star Opinion Research,47.5,47,D+ 0.5@@-.5,0.2428231,D
Arizona,9/20 - 9/24@@23639,764 LV@@764,Beacon Research/Shaw & Co.,47.5,50.5,R+ 3@@3,0.2123011,R
Arizona,9/19 - 9/24@@23638,500 LV@@500,Suffolk University,42.4,48.4,R+ 6@@6,0.1679574,R
Arizona,9/19 - 9/25@@23638,926 LV@@926,Morning Consult,49.5,46.5,D+ 3@@-3,0.1517395,D
Arizona,9/19 - 9/25@@23638,409 LV@@409,Benenson Strategy/GS Strategy,50,47.5,D+ 2.5@@-2.5,0.1195082,D
