Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Michigan,10/5 - 10/8@@23654,950 LV@@950,Emerson College,49.7,49.6,D+ 0.1@@-.1,1.258279,D
Michigan,10/3 - 10/7@@23652,"1,007 LV@@1007",Quinnipiac,47,50.5,R+ 3.5@@3.5,1.110572,R
Michigan,10/8 - 10/9@@23657,800 LV@@800,InsiderAdvantage,46,48,R+ 2@@2,1.01441,R
Michigan,10/5 - 10/7@@23654,450 LV@@450,Research Co.,51,48,D+ 3@@-3,0.7496232,D
Michigan,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",48,49,R+ 1@@1,0.6648383,R
Michigan,10/1 - 10/4@@23650,600 LV@@600,Glengariff Group,46.8,44.2,D+ 2.6@@-2.6,0.6524135,D
Michigan,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,48,46,D+ 2@@-2,0.5762121,D
Michigan,9/27 - 10/2@@23646,839 LV@@839,Redfield & Wilton,48,46,D+ 2@@-2,0.4903913,D
Michigan,9/28 - 9/30@@23647,"1,086 LV@@1086",Trafalgar Group,44.7,46.9,R+ 2.2@@2.2,0.4526811,R
Michigan,9/21 - 9/26@@23640,688 LV@@688,NYT/Siena,47,46.5,D+ 0.5@@-.5,0.3916539,D
Michigan,9/30 - 9/30@@23649,709 LV@@709,Mitchell Research,47.5,48,R+ 0.5@@.5,0.3704223,R
Michigan,9/24 - 9/27@@23643,789 LV@@789,RMG Research,50,47,D+ 3@@-3,0.359698,D
Michigan,9/24 - 10/2@@23643,500 LV@@500,OnMessage,48,46,D+ 2@@-2,0.3465747,D
Michigan,9/20 - 9/25@@23639,918 LV@@918,AtlasIntel,46.9,50.5,R+ 3.6@@3.6,0.3422708,R
Michigan,9/23 - 9/29@@23642,404 LV@@404,Global Strategy Group/North Star Opinion Research,46.5,48.5,R+ 2@@2,0.2678295,R
Michigan,9/19 - 9/25@@23638,800 LV@@800,Morning Consult,50,46.5,D+ 3.5@@-3.5,0.1840141,D
Michigan,9/19 - 9/25@@23638,416 LV@@416,Benenson Strategy/GS Strategy,50,47,D+ 3@@-3,0.1507186,D
Michigan,9/19 - 9/22@@23638,"1,086 LV@@1086",Rasmussen Reports,48,48,Even@@0,0.1472819,E
Michigan,9/12 - 9/17@@23631,"1,138 LV@@1138",Marist College,52,47,D+ 5@@-5,0.1004316,D
Michigan,9/15 - 9/18@@23634,875 LV@@875,Emerson College,50,49.1,D+ 0.9@@-.9,0.0927059,D
Michigan,9/11 - 9/19@@23630,650 LV@@650,"University of Massachusetts, Lowell",48,43,D+ 5@@-5,0.0797822,D
Michigan,9/16 - 9/18@@23635,500 LV@@500,Suffolk University,47.6,45.4,D+ 2.2@@-2.2,0.0775331,D
Michigan,9/12 - 9/16@@23631,905 LV@@905,Quinnipiac,50.5,45.5,D+ 5@@-5,0.0770557,D
Michigan,9/16 - 9/20@@23635,800 LV@@800,Remington Research,49,47,D+ 2@@-2,0.0628242,D
Michigan,9/16 - 9/19@@23635,993 LV@@993,Redfield & Wilton,46,45,D+ 1@@-1,0.0585868,D
Michigan,9/11 - 9/12@@23630,800 LV@@800,InsiderAdvantage,48,48.6,R+ 0.6@@.6,0.051413,R
Michigan,9/9 - 9/18@@23628,"1,297 LV@@1297",Morning Consult,51.97,44.46,D+ 7.5@@-7.5,0.0437496,D
Michigan,9/3 - 9/16@@23622,"1,114 LV@@1114",Focaldata,49.65,48.7,D+ 1@@-1,0.0352362,D
Michigan,9/11 - 9/11@@23630,580 LV@@580,Mitchell Research,47.5,47,D+ 0.5@@-.5,0.0340559,D
Michigan,9/6 - 9/9@@23625,556 LV@@556,Redfield & Wilton,48,45,D+ 3@@-3,0.0115902,D
Michigan,9/4 - 9/6@@23623,931 LV@@931,co/efficient,47,47,Even@@0,0.0087696,E
Michigan,9/3 - 9/6@@23622,"1,077 LV@@1077",YouGov,50,49,D+ 1@@-1,0.0085674,D
Michigan,8/30 - 9/8@@23618,"1,368 LV@@1368",Morning Consult,49.19,46.12,D+ 3.1@@-3.1,0.0033639,D
Michigan,9/1 - 9/3@@23620,822 RV@@822,Patriot Polling,48.4,47.6,D+ 0.8@@-.8,0,D
Michigan,7/22 - 7/23@@23579,800 RV@@800,Emerson College,46.45,47.5,R+ 1@@1,0,R
Michigan,7/11 - 7/12@@23568,568 RV@@568,Public Policy Polling,46,48,R+ 2@@2,0,R
Michigan,8/7 - 8/11@@23595,600 LV@@600,"Fabrizio, Lee/Impact Research",45.5,46.5,R+ 1@@1,0,R
Michigan,8/19 - 8/21@@23607,400 LV@@400,"Fabrizio, Lee & Associates",45,45.5,R+ 0.5@@.5,0,R
Michigan,7/26 - 8/2@@23583,406 LV@@406,Benenson Strategy/GS Strategy,47.5,45,D+ 2.5@@-2.5,0,D
Michigan,8/23 - 8/26@@23611,500 LV@@500,Z to A Research,47,47,Even@@0,0,E
Michigan,8/23 - 9/3@@23611,930 LV@@930,YouGov,49,44,D+ 5@@-5,0,D
Michigan,8/5 - 8/8@@23593,619 LV@@619,NYT/Siena,49,44.5,D+ 4.5@@-4.5,0,D
Michigan,8/6 - 8/16@@23594,702 LV@@702,Focaldata,51.95,45.35,D+ 6.6@@-6.6,0,D
Michigan,8/25 - 8/28@@23613,761 LV@@761,Redfield & Wilton,47,44,D+ 3@@-3,0,D
Michigan,8/28 - 9/1@@23616,600 LV@@600,Cygnal,47,46,D+ 1@@-1,0,D
Michigan,8/28 - 8/30@@23616,"1,089 LV@@1089",Trafalgar Group,46.6,47,R+ 0.4@@.4,0,R
Michigan,7/17 - 7/18@@23574,650 RV@@650,Public Policy Polling,41,46,R+ 5@@5,0,R
Michigan,7/31 - 8/8@@23588,600 LV@@600,GSG/GBAO,45.5,45,D+ 0.5@@-.5,0,D
Michigan,8/12 - 8/15@@23600,530 LV@@530,Redfield & Wilton,44,45,R+ 1@@1,0,R
Michigan,8/25 - 8/28@@23613,800 LV@@800,Emerson College,51.2,47.6,D+ 3.6@@-3.6,0,D
Michigan,8/26 - 8/28@@23614,600 LV@@600,Glengariff Group,43.5,44.7,R+ 1.2@@1.2,0,R
Michigan,8/15 - 8/23@@23603, LV@@0,YouGov,47,47,Even@@0,0,E
Michigan,8/23 - 8/26@@23611,600 LV@@600,EPIC-MRA,45.5,46.5,R+ 1@@1,0,R
Michigan,7/13 - 7/16@@23570,532 RV@@532,Civiqs,46,46,Even@@0,0,E
Michigan,7/31 - 8/3@@23588,771 LV@@771,Redfield & Wilton,41,42,R+ 1@@1,0,R
Michigan,7/22 - 7/24@@23579,512 LV@@512,Redfield & Wilton,41,44,R+ 3@@3,0,R
Michigan,8/6 - 8/8@@23594,800 LV@@800,InsiderAdvantage,49,47,D+ 2@@-2,0,D
Michigan,8/20 - 8/22@@23608,741 LV@@741,TIPP Insights,47.6,45.4,D+ 2.2@@-2.2,0,D
Michigan,7/22 - 7/24@@23579,"1,012 RV@@1012",Beacon Research/Shaw & Co.,46,47,R+ 1@@1,0,R
Michigan,7/22 - 7/24@@23579,600 LV@@600,Glengariff Group,41.6,41.3,D+ 0.3@@-.3,0,D
Michigan,8/23 - 8/26@@23611,651 LV@@651,Morning Consult,49,47,D+ 2@@-2,0,D
Michigan,8/13 - 8/17@@23601,"1,093 LV@@1093",Rasmussen Reports,47.5,45.5,D+ 2@@-2,0,D
Michigan,7/24 - 7/28@@23581,706 RV@@706,Morning Consult,52,40.5,D+ 11.5@@-11.5,0,D
Michigan,8/8 - 8/11@@23596,500 RV@@500,Bullfinch,47,41.5,D+ 5.5@@-5.5,0,D
Michigan,7/23 - 7/29@@23580,400 LV@@400,Public Opinion Strategies,45,45,Even@@0,0,E
Michigan,8/23 - 8/29@@23611,708 LV@@708,SSRS,48,43,D+ 5@@-5,0,D
